drug_name,reaction,n,total_drug,total_reaction,ror,pct_of_drug
Диазепам (8 мг),Аллергические реакции,4,4,198,294.82519280205656,100.0
Эзетимиб (51 мг),Анемия,3,3,187,242.15447154471545,100.0
Симвастатин (92 мг),Кашель,3,3,195,231.8,100.0
Цефтриаксон (26 мг),Повышение печёночных ферментов,3,3,203,222.2718204488778,100.0
Азилсартан (46 мг),Сонливость,4,4,261,220.4912621359223,100.0
Индапамид (69 мг),Шум в ушах,3,3,211,213.4748201438849,100.0
Ибупрофен (92 мг),Миалгия,3,3,216,208.31147540983605,100.0
Бупропион (2 мг),Гипотензия,3,3,222,202.4259681093394,100.0
Фондапаринукс (4 мг),Брадикардия,3,3,224,200.53498871331828,100.0
Карведилол (12 мг),Лейкопения,3,3,227,197.76169265033408,100.0
Цилостазол (25 мг),Анемия,2,2,187,172.03504043126685,100.0
Небиволол (97 мг),Кашель,2,2,195,164.71576227390182,100.0
Торасемид (99 мг),Гипогликемия,2,2,195,164.71576227390182,100.0
Апиксабан (92 мг),Аллергические реакции,2,2,198,162.12468193384225,100.0
Клонидин (44 мг),Повышение печёночных ферментов,2,2,203,157.97766749379653,100.0
Аторвастатин (95 мг),Гиперкалиемия,2,2,210,152.50599520383693,100.0
Вортиоксетин (69 мг),Шум в ушах,2,2,211,151.7541766109785,100.0
Рамелтеон (77 мг),Шум в ушах,2,2,211,151.7541766109785,100.0
Карведилол (97 мг),Запор,2,2,216,148.1002331002331,100.0
Метформин (41 мг),Запор,2,2,216,148.1002331002331,100.0
Никорандил (58 мг),Повышение креатинина,2,2,217,147.38979118329468,100.0
Бисопролол (16 мг),Повышение креатинина,2,2,217,147.38979118329468,100.0
Этосуксимид (73 мг),Повышение креатинина,2,2,217,147.38979118329468,100.0
Аторвастатин (19 мг),Тахикардия,2,2,218,146.68591224018476,100.0
Цилостазол (90 мг),Нарушение зрения,2,2,220,145.2974828375286,100.0
Метопролол (6 мг),Нарушение зрения,2,2,220,145.2974828375286,100.0
Вортиоксетин (47 мг),Нарушение зрения,2,2,220,145.2974828375286,100.0
Правастатин (61 мг),Нарушение зрения,2,2,220,145.2974828375286,100.0
Тамсулозин (80 мг),Изжога,2,2,221,144.6127562642369,100.0
Розувастатин (70 мг),Гипотензия,2,2,222,143.93424036281178,100.0
Моклобемид (62 мг),Отёки,2,2,222,143.93424036281178,100.0
Бупропион (21 мг),Брадикардия,2,2,224,142.59550561797752,100.0
Флуоксетин (38 мг),Диарея,2,2,226,141.2806236080178,100.0
Метформин (70 мг),Диарея,2,2,226,141.2806236080178,100.0
Эдоксабан (61 мг),Лейкопения,2,2,227,140.6319290465632,100.0
